velocity_data_x,velocity_data_y,velocity_data_z,acceleration_data_x,acceleration_data_y,acceleration_data_z,euler_data_r,euler_data_p,euler_data_y,angular_rate_data_vr,angular_rate_data_vp,angular_rate_data_vy,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.099998,99.922318,100.099998,0.000000,0.100000,0.022596,1.812502,100.099998,0,0,0,0.000000,0.000000,0.000000,41,0,1
0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.099998,99.922318,100.099998,99.922318,0.100000,0.022596,1.812502,100.099998,1038487049,12946750,107,1.424644,-0.058773,-1.079071,41,0,1
0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.099998,99.922318,100.099998,99.922318,0.100000,0.022596,1.812502,100.099998,1038487049,12946750,107,1.424644,-0.058773,-1.079071,41,0,1
0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.099998,99.922318,100.099998,99.922318,0.100000,0.022596,1.812502,100.099998,1038487049,12946750,107,1.424644,-0.058773,-1.079071,41,0,1
0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.099998,99.922318,100.099998,99.922318,0.100000,0.022596,1.812502,100.099998,1038487049,12946750,107,1.424644,-0.058773,-1.079071,41,0,1
0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.099998,99.922318,100.099998,99.922318,0.100000,0.022596,1.812502,100.099998,1038487049,12946750,107,1.424644,-0.058773,-1.079071,41,0,1
0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.099998,99.922318,100.099998,99.922318,0.100000,0.022596,1.812502,100.099998,1038487049,12946750,107,1.424644,-0.058773,-1.079071,41,0,1
0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.099998,99.922318,100.099998,99.922318,0.100000,0.022596,1.812502,100.099998,1038487049,12946750,107,1.424644,-0.058773,-1.079071,41,0,1
0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.099998,99.922318,100.099998,99.922318,0.100000,0.022596,1.812502,100.099998,1038487049,12946750,107,1.424644,-0.058773,-1.079071,41,0,1
0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.099998,99.922318,100.099998,99.922318,0.100000,0.022596,1.812502,100.099998,1038487049,12946750,107,1.424644,-0.058773,-1.079071,41,0,1
0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.099998,99.922318,100.099998,99.922318,0.100000,0.022596,1.812502,100.099998,1038487022,12946607,88,1.076362,1.262384,0.065373,41,0,1
0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.099998,99.922318,100.099998,99.922318,0.100000,0.022596,1.812502,100.099998,1038487022,12946607,88,1.076362,1.262384,0.065373,41,0,1
0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.001878,-0.001342,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.099998,99.922318,100.099998,99.922318,0.100000,0.022596,1.812502,100.099998,1038487022,12946607,88,1.076362,1.262384,0.065373,41,0,1
